address_id,line1,ward,district,city,country,postal_code
ADDR-000001,So 45 Pho Ao,Phuong Mo Phong,Quan Mock 1,Thanh pho Ao,VN,59277
ADDR-000002,So 12 Duong Gia,Phuong Thu Nghiem,Huyen Sandbox,Thanh pho Ao,VN,67747
ADDR-000003,So 15 Duong Sandbox,Xa Du Lieu,Quan Mock 1,Thanh pho Gia,VN,97111
ADDR-000004,So 21 Pho Fictitious,Xa Mo Hinh,Huyen Sandbox,Thanh pho Demo,VN,17234
ADDR-000005,So 99 Hem Mock,Xa Du Lieu,Quan Mock 1,Thanh pho Ao,VN,13324
ADDR-000006,So 60 Pho Placeholder,Xa Du Lieu,Huyen Demo,Thanh pho Ao,VN,19441
ADDR-000007,So 33 Ngach Testbed,Phuong Sandbox,Quan Mock 1,Thanh pho Ao,VN,65864
ADDR-000008,So 33 Ngach Testbed,Phuong Gia Lap,Quan Mock 2,Thanh pho Gia,VN,92863
ADDR-000009,So 7 Ngach Demo,Phuong Gia Lap,Huyen Demo,Thanh pho Ao,VN,75521
ADDR-000010,So 15 Duong Sandbox,Xa Synthetic,Quan Mock 2,Thanh pho Ao,VN,97836
ADDR-000011,So 21 Pho Fictitious,Phuong Demo,Quan Mock 2,Tinh Mo Phong,VN,40154
ADDR-000012,So 99 Hem Mock,Xa Mo Hinh,Huyen Sandbox,Thanh pho Ao,VN,54025
ADDR-000013,So 15 Duong Sandbox,Xa Synthetic,Huyen Sandbox,Thanh pho Gia,VN,66113
ADDR-000014,So 12 Duong Gia,Phuong Demo,Quan Mock 2,Thanh pho Ao,VN,56976
ADDR-000015,So 21 Pho Fictitious,Phuong Gia Lap,Huyen Sandbox,Thanh pho Demo,VN,45361
ADDR-000016,So 21 Pho Fictitious,Phuong Sandbox,Huyen Demo,Thanh pho Gia,VN,95070
ADDR-000017,So 45 Pho Ao,Phuong Sandbox,Quan Test 3,Thanh pho Gia,VN,20508
ADDR-000018,So 99 Hem Mock,Xa Mo Hinh,Quan Test 3,Tinh Mo Phong,VN,95951
ADDR-000019,So 7 Ngach Demo,Xa Du Lieu,Huyen Demo,Tinh Mo Phong,VN,33891
ADDR-000020,So 12 Duong Gia,Phuong Demo,Quan Test 3,Thanh pho Ao,VN,70036
ADDR-000021,So 33 Ngach Testbed,Phuong Sandbox,Huyen Demo,Thanh pho Ao,VN,46428
ADDR-000022,So 3 Duong Synthetic,Xa Mo Hinh,Huyen Sandbox,Tinh Mo Phong,VN,68402
ADDR-000023,So 33 Ngach Testbed,Phuong Demo,Quan Mock 1,Thanh pho Gia,VN,63668
ADDR-000024,So 3 Duong Synthetic,Xa Synthetic,Quan Mock 1,Tinh Mo Phong,VN,64677
ADDR-000025,So 12 Duong Gia,Xa Du Lieu,Huyen Sandbox,Thanh pho Demo,VN,27759
ADDR-000026,So 3 Duong Synthetic,Phuong Thu Nghiem,Huyen Sandbox,Thanh pho Gia,VN,80047
ADDR-000027,So 15 Duong Sandbox,Xa Mo Hinh,Huyen Sandbox,Tinh Mo Phong,VN,28220
ADDR-000028,So 12 Duong Gia,Phuong Sandbox,Quan Mock 1,Thanh pho Gia,VN,96479
ADDR-000029,So 60 Pho Placeholder,Phuong Sandbox,Huyen Demo,Thanh pho Gia,VN,22989
ADDR-000030,So 60 Pho Placeholder,Phuong Sandbox,Quan Test 3,Thanh pho Gia,VN,51193
ADDR-000031,So 15 Duong Sandbox,Xa Mo Hinh,Quan Mock 2,Thanh pho Gia,VN,98363
ADDR-000032,So 45 Pho Ao,Phuong Sandbox,Quan Test 3,Thanh pho Demo,VN,46505
ADDR-000033,So 45 Pho Ao,Phuong Gia Lap,Quan Mock 1,Thanh pho Demo,VN,98880
ADDR-000034,So 12 Duong Gia,Phuong Gia Lap,Quan Test 3,Thanh pho Gia,VN,60283
ADDR-000035,So 15 Duong Sandbox,Xa Du Lieu,Huyen Demo,Thanh pho Gia,VN,61299
ADDR-000036,So 99 Hem Mock,Phuong Sandbox,Quan Mock 2,Tinh Mo Phong,VN,87664
ADDR-000037,So 33 Ngach Testbed,Phuong Mo Phong,Quan Test 3,Thanh pho Gia,VN,98488
ADDR-000038,So 45 Pho Ao,Phuong Mo Phong,Huyen Demo,Tinh Mo Phong,VN,45830
ADDR-000039,So 7 Ngach Demo,Xa Synthetic,Quan Mock 2,Thanh pho Demo,VN,45118
ADDR-000040,So 3 Duong Synthetic,Xa Du Lieu,Huyen Sandbox,Thanh pho Ao,VN,63197
ADDR-000041,So 15 Duong Sandbox,Phuong Gia Lap,Quan Mock 1,Thanh pho Gia,VN,51144
ADDR-000042,So 33 Ngach Testbed,Phuong Demo,Quan Mock 2,Thanh pho Demo,VN,38574
ADDR-000043,So 3 Duong Synthetic,Phuong Gia Lap,Huyen Demo,Thanh pho Gia,VN,96798
ADDR-000044,So 7 Ngach Demo,Xa Synthetic,Huyen Sandbox,Thanh pho Demo,VN,14440
ADDR-000045,So 7 Ngach Demo,Phuong Gia Lap,Quan Test 3,Thanh pho Ao,VN,92352
ADDR-000046,So 21 Pho Fictitious,Xa Du Lieu,Quan Test 3,Thanh pho Demo,VN,84762
ADDR-000047,So 12 Duong Gia,Phuong Demo,Quan Test 3,Thanh pho Demo,VN,25533
