company_id,legal_name,registration_number,incorporation_date,industry_code,registered_address_id,expected_monthly_turnover,expected_cross_border,expected_countries,declared_source_of_funds,account_purpose,representative_customer_id,kyc_risk_level
COMP-000001,Cong ty MTV Red River Demo,DN4602926306,2017-05-01,5229,ADDR-002001,2515740670,true,"[""VN"", ""SG"", ""US"", ""CY""]",Investment income,Payroll disbursement,CUST-001939,LOW
COMP-000002,Cong ty CP Viet Hung Sandbox,DN9240599615,2012-12-11,5229,ADDR-002002,749938899,false,"[""VN""]",Business revenue,Trade settlement,CUST-000789,MEDIUM
COMP-000003,Doanh nghiep Tu nhan Dong A Sandbox,DN5813233039,2023-11-27,6419,ADDR-002003,2936045542,false,"[""VN""]",Shareholder capital,Trade settlement,CUST-000951,HIGH
COMP-000004,Cong ty TNHH Hoang Gia Ao,DN9499081961,2022-06-28,7020,ADDR-002004,18589480386,true,"[""VN"", ""SG"", ""JP"", ""KR"", ""DE""]",Investment income,Event ticketing,CUST-000858,LOW
COMP-000005,Cong ty MTV Sao Mai Demo,DN5387174041,2014-10-01,5610,ADDR-002005,27039218289,false,"[""VN""]",Trade receivables,Payroll disbursement,CUST-000521,MEDIUM
COMP-000006,Cong ty MTV Song Hong Demo,DN3120986582,2017-07-24,6419,ADDR-002006,2027939392,true,"[""VN"", ""KR""]",Trade receivables,General corporate,CUST-001845,LOW
COMP-000007,Cong ty CP Bao Tin Demo,DN2801822323,2010-02-19,6202,ADDR-002007,897230028,true,"[""VN"", ""KR""]",Investment income,Event ticketing,CUST-000100,LOW
COMP-000008,Cong ty TNHH Hoang Gia Ao,DN6008238510,2025-10-20,4711,ADDR-002008,300000000,true,"[""VN"", ""SG""]",Business revenue,Payroll disbursement,CUST-001690,MEDIUM
COMP-000009,Cong ty CP Tay Nguyen Mock,DN9082249559,2015-04-11,8230,ADDR-002009,1090601203,false,"[""VN""]",Shareholder capital,Operating expenses,CUST-001428,MEDIUM
COMP-000010,Cong ty CP Red River Demo,DN1202488716,2011-02-13,4690,ADDR-002010,1024629722,false,"[""VN""]",Shareholder capital,Operating expenses,CUST-000957,LOW
COMP-000011,Cong ty CP An Binh Placeholder,DN2247112947,2021-06-04,6202,ADDR-002011,2766196269,false,"[""VN""]",Investment income,General corporate,CUST-000180,MEDIUM
COMP-000012,Cong ty CP Hoang Gia Ao,DN6274884185,2016-02-04,8230,ADDR-002012,4085241970,false,"[""VN""]",Investment income,Payroll disbursement,CUST-000842,LOW
COMP-000013,Cong ty MTV Tan Phat Demo,DN5243630357,2016-02-13,4711,ADDR-002013,1026904541,false,"[""VN""]",Trade receivables,Operating expenses,CUST-000474,MEDIUM
COMP-000014,Cong ty CP Minh Phat Sandbox,DN1172276223,2025-10-17,6201,ADDR-002014,50000000,true,"[""VN"", ""CN"", ""CY""]",Business revenue,Operating expenses,CUST-000864,MEDIUM
COMP-000015,Cong ty CP Red River Demo,DN1035048768,2023-04-18,8230,ADDR-002015,2864826480,true,"[""VN"", ""JP""]",Shareholder capital,Trade settlement,CUST-000183,LOW
COMP-000016,Cong ty MTV Hai Au Synthetic,DN4724115056,2014-03-18,6202,ADDR-002016,2734467825,true,"[""VN"", ""SG"", ""JP""]",Investment income,Operating expenses,CUST-000722,MEDIUM
COMP-000017,Cong ty MTV Minh Phat Sandbox,DN8299931624,2011-11-26,4690,ADDR-002017,19477275156,true,"[""VN"", ""SG"", ""CN"", ""CY""]",Business revenue,Payroll disbursement,CUST-000930,MEDIUM
COMP-000018,Cong ty CP An Binh Placeholder,DN6805062261,2011-05-22,5610,ADDR-002018,3703201251,false,"[""VN""]",Trade receivables,Trade settlement,CUST-000826,MEDIUM
COMP-000019,Cong ty MTV Nhat Quang Sandbox,DN7697175379,2020-10-20,4690,ADDR-002019,10000000000,false,"[""VN""]",Business revenue,Event ticketing,CUST-000055,LOW
COMP-000020,Cong ty TNHH Viet Hung Sandbox,DN2780305342,2016-04-20,8299,ADDR-002020,2449040859,true,"[""VN"", ""JP"", ""KR""]",Trade receivables,Event ticketing,CUST-000027,MEDIUM
COMP-000021,Cong ty MTV Nhat Quang Sandbox,DN4219473616,2010-06-14,4711,ADDR-002021,13826317154,true,"[""VN"", ""SG"", ""US"", ""KR"", ""CY""]",Trade receivables,Payroll disbursement,CUST-000552,LOW
COMP-000022,Cong ty CP Dai Viet Test,DN1170004678,2025-11-30,5610,ADDR-002022,78812705,true,"[""VN"", ""CY""]",Business revenue,Event ticketing,CUST-000162,HIGH
COMP-000023,Doanh nghiep Tu nhan Song Hong Demo,DN6245800207,2023-11-01,5610,ADDR-002023,1484918279,false,"[""VN""]",Investment income,Trade settlement,CUST-001906,LOW
COMP-000024,Cong ty MTV Kim Long Mock,DN1098227999,2025-11-21,6202,ADDR-002024,281741164,true,"[""VN""]",Trade receivables,General corporate,CUST-000518,HIGH
